month,total_loans,total_defaults,stealth_defaults,captured_defaults,realized_default_rate,stealth_default_rate,macro_stress_score,uncertainty_pressure,liquidity_disruption,unemployment_rate,fed_funds_rate,cpi_inflation,treasury_spread,recession_indicator,spy_monthly_return,spy_monthly_vol,vix_monthly_mean
2018-01-01,8600,1674,702,972,0.19465116279069766,0.41935483870967744,0.039,0.14,0.0,4.0,1.41,2.151318868063945,0.5519047619047619,0.0,0.056358913606065375,0.08660785124674826,11.062381017775763
2018-02-01,6752,1316,557,759,0.19490521327014218,0.42325227963525835,0.0365,0.13,0.0,4.1,1.42,2.263468931091861,0.6836842105263158,0.0,-0.03636022937749395,0.27730639729879725,22.464736637316253
2018-03-01,7178,1397,579,818,0.19462245750905544,0.41445955619183966,0.113,0.18,0.0,4.0,1.51,2.3309497646499366,0.5666666666666667,0.0,-0.027410256496983698,0.20150552690972875,19.023809750874836
2018-04-01,6924,1362,554,808,0.19670710571923744,0.4067547723935389,0.1455,0.19,0.08,4.0,1.69,2.4709963021052994,0.4847619047619047,0.0,0.005167796055093765,0.1709266772789421,18.26761904216948
2018-05-01,6632,1203,507,696,0.18139324487334138,0.42144638403990026,0.147,0.25,0.0,3.8,1.7,2.781921607842497,0.4659090909090909,0.0,0.024309348120300056,0.10375037558169323,14.124545487490566
2018-06-01,4893,782,311,471,0.15982015123646026,0.3976982097186701,0.109,0.26,0.0,4.0,1.82,2.8075506935940187,0.379047619047619,0.0,0.005750965642697947,0.08519569750547304,13.678095318022228
2018-07-01,4317,530,224,306,0.12277044243687746,0.4226415094339623,0.101,0.26,0.0,3.8,1.91,2.854124785561929,0.28238095238095234,0.0,0.0370462767332278,0.08422142950918363,13.147619065784273
2018-08-01,3569,315,124,191,0.08826001681143178,0.39365079365079364,0.107,0.26,0.0,3.8,1.91,2.6429238568742575,0.2534782608695652,0.0,0.03191992806053845,0.06962697359224876,12.546956518422002
2018-09-01,2423,173,72,101,0.07139909203466777,0.4161849710982659,0.097,0.26,0.0,3.7,1.95,2.332055105808828,0.23631578947368423,0.0,0.005945269837540179,0.055983437450654525,12.910526325828151
2018-10-01,2150,85,49,36,0.03953488372093023,0.5764705882352941,0.0805,0.25,0.0,3.8,2.19,2.492032470218053,0.2913636363636364,0.0,-0.06910392087959161,0.22081874178847072,19.352173639380414
2018-11-01,1632,24,19,5,0.014705882352941176,0.7916666666666666,0.2455,0.28,0.0,3.8,2.2,2.147328577667773,0.258,0.0,0.018549082953825735,0.18786820345224983,19.389047622680664
2018-12-01,1248,13,10,3,0.010416666666666666,0.7692307692307693,0.1955,0.33,0.0,3.9,2.27,2.0023809043401064,0.1563157894736842,0.0,-0.08804854536970974,0.29947933985969233,24.953157726087067
